waktu,kecepatan,jarak
0.000000,10.000000,0.000000
0.500000,10.500000,5.125000
1.000000,11.000000,10.500000
1.500000,11.500000,16.125000
2.000000,12.000000,22.000000
2.500000,12.500000,28.125000
3.000000,13.000000,34.500000
3.500000,13.500000,41.125000
4.000000,14.000000,48.000000
4.500000,14.500000,55.125000
5.000000,15.000000,62.500000
5.500000,15.500000,70.125000
6.000000,16.000000,78.000000
6.500000,16.500000,86.125000
7.000000,17.000000,94.500000
7.500000,17.500000,103.125000
8.000000,18.000000,112.000000
8.500000,18.500000,121.125000
9.000000,19.000000,130.500000
9.500000,19.500000,140.125000
10.000000,20.000000,150.000000
